timestamp,rpm_value
1704063600000,4425
1704063600100,6751
1704063600200,4732
1704063600300,2050
1704063600400,1221
1704063600500,2789
1704063600600,6118
1704063600700,5079
1704063600800,1002
1704063600900,309
1704063601000,2141
1704063601100,1400
1704063601200,4398
1704063601300,2187
1704063601400,2385
1704063601500,5176
1704063601600,6390
1704063601700,5115
1704063601800,7
1704063601900,3582
1704063602000,3440
1704063602100,6124
1704063602200,4317
1704063602300,4423
1704063602400,5186
1704063602500,6231
1704063602600,4737
1704063602700,1735
1704063602800,4913
1704063602900,3416
1704063603000,1688
1704063603100,759
1704063603200,1886
1704063603300,2499
1704063603400,284
1704063603500,4156
1704063603600,3647
1704063603700,6778
1704063603800,2562
1704063603900,4511
1704063604000,3197
1704063604100,9
1704063604200,4109
1704063604300,4652
1704063604400,5804
1704063604500,2875
1704063604600,3911
1704063604700,3380
1704063604800,3506
1704063604900,6657
1704063605000,3798
1704063605100,881
1704063605200,5507
1704063605300,1848
1704063605400,4176
1704063605500,2637
1704063605600,856
1704063605700,1162
1704063605800,1818
1704063605900,142
1704063606000,5477
1704063606100,4107
1704063606200,69
1704063606300,6628
1704063606400,5091
1704063606500,3749
1704063606600,3490
1704063606700,697
1704063606800,6381
1704063606900,2215
1704063607000,3936
1704063607100,5833
1704063607200,6351
1704063607300,1016
1704063607400,5224
1704063607500,4327
1704063607600,1325
1704063607700,2998
1704063607800,3902
1704063607900,6381
1704063608000,3412
1704063608100,5870
1704063608200,4083
1704063608300,2176
1704063608400,326
1704063608500,532
1704063608600,6049
1704063608700,5698
1704063608800,3853
1704063608900,6132
1704063609000,4462
1704063609100,4162
1704063609200,4489
1704063609300,4421
1704063609400,4168
1704063609500,5846
1704063609600,5706
1704063609700,3430
1704063609800,2558
1704063609900,3932
1704063610000,560
1704063610100,6574
1704063610200,6397
1704063610300,4562
1704063610400,6338
1704063610500,466
1704063610600,1568
1704063610700,5301
1704063610800,1859
1704063610900,3067
1704063611000,4470
1704063611100,6675
1704063611200,1891
1704063611300,3152
1704063611400,3832
1704063611500,2464
1704063611600,5432
1704063611700,4501
1704063611800,2021
1704063611900,6404
1704063612000,6040
1704063612100,3448
1704063612200,1269
1704063612300,1909
1704063612400,1161
1704063612500,3545
1704063612600,358
1704063612700,1988
1704063612800,6739
1704063612900,6450
1704063613000,369
1704063613100,1009
1704063613200,3989
1704063613300,2877
1704063613400,5992
1704063613500,334
1704063613600,3752
1704063613700,5271
1704063613800,3884
1704063613900,2681
1704063614000,4803
1704063614100,6934
1704063614200,2390
1704063614300,1357
1704063614400,1399
1704063614500,690
1704063614600,5109
1704063614700,1325
1704063614800,554
1704063614900,4550
1704063615000,1776
1704063615100,1146
1704063615200,512
1704063615300,3669
1704063615400,4009
1704063615500,5067
1704063615600,1706
